speaker,text,emotion
Mitch,"Hey Morrie, how are you feeling today?",joy
Morrie,"Hello my dear boy. Some days better than others, you know.",sadness
Mitch,I've been thinking about our last conversation a lot.,unknown
Morrie,Which part stuck with you the most?,unknown
Mitch,What you said about success. It's been haunting me.,fear
Morrie,"Haunting? That sounds rather dramatic, don't you think?",unknown
Mitch,Maybe. But I can't shake the feeling that I've been chasing the wrong things.,fear
Morrie,What do you think you've been chasing?,unknown
Mitch,"Money, recognition, the next promotion. The usual stuff.",joy
Morrie,And how has that been working out for you?,joy
Mitch,Honestly? I'm more stressed than ever.,anger
Morrie,"Stress is the great thief of joy, Mitch.",unknown
Mitch,Easy to say when you're not worried about mortgage payments.,fear
Morrie,"Ah, so you think I never worried about money?",fear
Mitch,Well... didn't you?,joy
Morrie,Of course I did. But I learned something important along the way.,joy
Mitch,What's that?,unknown
Morrie,"Money is a tool, not a destination.",joy
Mitch,That sounds like something you'd cross-stitch on a pillow.,sadness
Morrie,Ha! You always were a smart aleck.,joy
Mitch,"Sorry, I'm just frustrated with everything right now.",anger
Morrie,Tell me what's really bothering you.,unknown
Mitch,I feel like I'm running on a treadmill that never stops.,anger
Morrie,So step off the treadmill.,unknown
Mitch,"It's not that simple, Morrie.",sadness
Morrie,Isn't it? What's the worst that could happen?,unknown
Mitch,I could lose everything I've worked for.,sadness
Morrie,And what exactly have you worked for?,joy
Mitch,"A nice house, a good car, financial security...",joy
Morrie,"Those are things, not achievements of the heart.",joy
Mitch,The heart doesn't pay bills.,anger
Morrie,But it does pay attention to what matters.,joy
Mitch,I'm not following you.,unknown
Morrie,When was the last time you felt truly happy?,joy
Mitch,I don't know... maybe when I got that promotion last year?,joy
Morrie,That lasted how long?,unknown
Mitch,"A few days, maybe a week.",sadness
Morrie,And then what?,unknown
Mitch,Then I started worrying about the next one.,sadness
Morrie,Do you see the pattern?,joy
Mitch,You're saying I'm on a hamster wheel.,anger
Morrie,I'm saying you're looking for permanent satisfaction in temporary things.,joy
Mitch,So what should I be looking for instead?,joy
Morrie,What brings you peace?,joy
Mitch,I used to love playing music.,love
Morrie,Used to?,fear
Mitch,I don't have time for that anymore.,sadness
Morrie,You don't have time for what brings you peace?,joy
Mitch,"When you put it like that, it sounds crazy.",fear
Morrie,"It doesn't sound crazy, it sounds human.",fear
Mitch,I've forgotten how to just... be.,sadness
Morrie,"Being is a practice, like meditation or exercise.",joy
Mitch,How do you practice being?,joy
Morrie,Start with five minutes of doing absolutely nothing.,unknown
Mitch,That makes me anxious just thinking about it.,fear
Morrie,That anxiety is exactly what you need to examine.,fear
Mitch,I feel like I'm wasting time if I'm not productive.,joy
Morrie,Who taught you that rest is wasteful?,sadness
Mitch,Society? My parents? I don't know.,sadness
Morrie,What if rest is actually the most productive thing you can do?,joy
Mitch,That doesn't make sense.,joy
Morrie,A field that's never left fallow eventually stops producing crops.,unknown
Mitch,So I'm an overworked field?,sadness
Morrie,You're a human being who's forgotten how to tend to himself.,sadness
Mitch,This is hard to hear.,sadness
Morrie,The truth often is.,sadness
Mitch,I don't even know where to start.,fear
Morrie,Start with one small thing that brings you joy.,joy
Mitch,Like what?,unknown
Morrie,What did you love as a child?,love
Mitch,I loved reading stories under my blanket with a flashlight.,love
Morrie,When did you stop doing that?,unknown
Mitch,"I guess when I decided it wasn't ""adult"" enough.",unknown
Morrie,What a shame to abandon joy in the name of adulthood.,sadness
Mitch,You really think it's that simple?,unknown
Morrie,"Simple, yes. Easy, no.",joy
Mitch,What's the difference?,unknown
Morrie,Simple means uncomplicated. Easy means without effort.,joy
Mitch,So changing my life will take effort.,fear
Morrie,Everything worthwhile does.,joy
Mitch,"I'm scared, Morrie.",fear
Morrie,Scared of what?,fear
Mitch,Scared of slowing down and discovering I don't like who I've become.,fear
Morrie,That's the most honest thing you've said today.,joy
Mitch,Great. Now I feel worse.,sadness
Morrie,"No, now you feel real.",joy
Mitch,What if I've wasted too much time already?,sadness
Morrie,Time isn't a bank account that can be overdrawn.,joy
Mitch,What do you mean?,unknown
Morrie,Every moment is a new opportunity to choose differently.,joy
Mitch,Even at my age?,unknown
Morrie,Especially at your age. You still have so much life ahead of you.,joy
Mitch,Sometimes I feel like it's too late to change.,sadness
Morrie,"That's fear talking, not wisdom.",unknown
Mitch,How do you know the difference?,unknown
Morrie,Wisdom whispers possibilities. Fear shouts limitations.,unknown
Mitch,I think I've been listening to fear for a long time.,fear
Morrie,What would wisdom tell you right now?,joy
Mitch,Maybe... that it's okay to slow down?,joy
Morrie,What else?,unknown
Mitch,That relationships matter more than achievements?,joy
Morrie,Go on.,unknown
Mitch,That I don't have to prove my worth through productivity?,joy
Morrie,Now you're starting to understand.,joy
Mitch,It feels scary and liberating at the same time.,fear
Morrie,That's exactly how transformation should feel.,joy
Mitch,Will you help me figure this out?,unknown
Morrie,I'm already helping you by asking the right questions.,unknown
Mitch,What's the most important question I should ask myself?,unknown
Morrie,What kind of person do I want to be remembered as?,unknown
Mitch,Not what I want to achieve?,unknown
Morrie,Achievements fade. Character endures.,unknown
Mitch,I want to be remembered as someone who cared.,love
Morrie,"Then start caring, beginning with yourself.",love
Mitch,How do I care for myself?,love
Morrie,The same way you'd care for someone you love deeply.,love
Mitch,With patience and kindness?,joy
Morrie,And forgiveness for past mistakes.,sadness
Mitch,I've been so hard on myself.,sadness
Morrie,"Self-compassion is not self-indulgence, it's self-preservation.",unknown
Mitch,I never thought of it that way.,sadness
Morrie,Most people confuse self-care with selfishness.,unknown
Mitch,What's the difference?,unknown
Morrie,Self-care fills your cup so you can pour into others.,joy
Mitch,I feel like my cup has been empty for years.,sadness
Morrie,Then it's time to fill it up again.,joy
Mitch,"Thank you, Morrie. This conversation has meant everything to me.",love
Morrie,"Remember, my dear boy, love is the only rational act.",love
Mitch,I'll remember. I promise.,joy
Morrie,And I'll be here whenever you need to remember who you really are.,joy
Mitch,"I love you, old man.",love
Morrie,I love you too. Now go live like you mean it.,love

